id;state;date;amount;currency_name;currency_code;from;to;description
650703;EXECUTED;2023-09-05T11:30:32Z;16210;Sol;PEN;Счет 58803664561298323391;Счет 39745660563456619397;Перевод организации
3598919;EXECUTED;2020-12-06T23:00:58Z;29740;Peso;COP;Discover 3172601889670065;Discover 0720428384694643;Перевод с карты на карту
593027;CANCELED;2023-07-22T05:02:01Z;30368;Shilling;TZS;Visa 1959232722494097;Visa 6804119550473710;Перевод с карты на карту
366176;EXECUTED;2020-08-02T09:35:18Z;29482;Rupiah;IDR;Discover 0325955596714937;Visa 3820488829287420;Перевод с карты на карту
5380041;CANCELED;2021-02-01T11:54:58Z;23789;Peso;UYU;;Счет 23294994494356835683;Открытие вклада
1962667;EXECUTED;2023-10-22T09:43:32Z;18588;Peso;COP;Mastercard 7286844946221431;Счет 76145988629288763144;Перевод организации
5294458;EXECUTED;2022-06-20T18:08:20Z;16836;Yuan Renminbi;CNY;Visa 2759011965877198;Счет 38287443300766991082;Перевод с карты на карту
5429839;EXECUTED;2023-06-23T19:46:34Z;25261;Hryvnia;UAH;;Счет 76768135089446747029;Открытие вклада
3226899;EXECUTED;2023-04-17T09:21:15Z;21680;Koruna;CZK;;Счет 88329674734590848775;Открытие вклада
3176764;CANCELED;2022-08-24T14:32:38Z;16652;Euro;EUR;Mastercard 8387037425051294;American Express 5556525473658852;Перевод с карты на карту
4234093;EXECUTED;2021-07-08T07:31:21Z;23182;Ruble;RUB;Visa 0773092093872450;Discover 8602781449570491;Перевод с карты на карту
3107343;EXECUTED;2023-01-25T13:33:00Z;33639;Krona;SEK;;Счет 35662766798195077538;Открытие вклада
2130098;PENDING;2020-06-07T11:11:36Z;30731;Euro;EUR;Visa 5749750597771353;American Express 9106381490184499;Перевод с карты на карту
4653427;PENDING;2020-10-04T12:12:23Z;34072;Yuan Renminbi;CNY;Discover 9058011549803523;Mastercard 5266726031439012;Перевод с карты на карту
4641894;EXECUTED;2021-08-30T12:27:22Z;11111;Krona;SEK;;Счет 53688013223998817599;Открытие вклада
4813301;EXECUTED;2021-11-02T13:32:15Z;15080;Euro;EUR;Счет 65547878890984510340;Счет 91457207307678002163;Перевод со счета на счет
1449073;CANCELED;2021-05-11T10:06:51Z;11834;Rupiah;IDR;Счет 17847122626293622323;Счет 68570011224094542755;Перевод со счета на счет
2029174;EXECUTED;2022-08-09T17:12:27Z;34143;Yuan Renminbi;CNY;Visa 2717112074981212;Discover 8397322380849617;Перевод с карты на карту
293898;EXECUTED;2023-05-14T18:57:16Z;14031;Peso;PHP;Visa 5962584244183755;Mastercard 8961651103972237;Перевод с карты на карту
1849472;EXECUTED;2021-09-24T14:59:04Z;21741;Yen;JPY;Visa 6665114452549732;American Express 7292521342622607;Перевод с карты на карту
2264916;EXECUTED;2020-12-04T22:59:07Z;25833;Yuan Renminbi;CNY;Discover 2227841726977189;Mastercard 3354646664448456;Перевод с карты на карту
5371445;PENDING;2023-10-19T03:51:33Z;19556;Yuan Renminbi;CNY;Discover 2269057629158313;Discover 1467530652300402;Перевод с карты на карту
5317785;EXECUTED;2020-02-17T01:03:47Z;29816;Zloty;PLN;;Счет 78438276133237705218;Открытие вклада
3373740;EXECUTED;2020-02-22T02:10:18Z;12439;Peso;MXN;Discover 3471032641828884;Mastercard 3506550658550576;Перевод с карты на карту
1527905;CANCELED;2021-01-15T05:10:15Z;19664;Hryvnia;UAH;Visa 9812145096080028;Mastercard 2052066307781062;Перевод с карты на карту
5447107;EXECUTED;2021-11-01T03:49:47Z;18924;Peso;MXN;Visa 1750234568535711;Mastercard 1365460456366991;Перевод с карты на карту
1690784;CANCELED;2021-11-02T02:03:05Z;27487;Rupiah;IDR;Mastercard 4126837433624990;Visa 1620199906118385;Перевод с карты на карту
1838163;EXECUTED;2020-12-11T05:45:02Z;18154;Yuan Renminbi;CNY;Mastercard 9557665746204580;Discover 0970136905701523;Перевод с карты на карту
5368178;PENDING;2020-07-07T13:57:01Z;22557;Yuan Renminbi;CNY;Mastercard 4225154400758745;Mastercard 0556460753444710;Перевод с карты на карту
1068715;PENDING;2023-08-03T16:00:37Z;18891;Yuan Renminbi;CNY;;Счет 04362233061130879079;Открытие вклада
302564;EXECUTED;2021-01-05T12:20:25Z;21153;Euro;EUR;;Счет 65381695235722669691;Открытие вклада
1408892;EXECUTED;2020-08-15T15:35:06Z;16101;Peso;COP;American Express 7606039262578692;Счет 35266864227613549441;Перевод организации
1556435;EXECUTED;2020-06-17T02:29:13Z;27776;Sol;PEN;Mastercard 1191143054153256;Счет 48560440734108989910;Перевод организации
2832473;EXECUTED;2022-01-11T00:56:43Z;12360;Euro;EUR;Discover 5736874734579262;Visa 7416410722264963;Перевод с карты на карту
448808;EXECUTED;2020-02-02T02:06:15Z;14192;Dollar;CAD;Mastercard 8790526356570257;Visa 4436252184653909;Перевод с карты на карту
3143449;EXECUTED;2023-08-31T11:11:51Z;32957;Real;BRL;Visa 9446732032111774;Mastercard 3661534380456235;Перевод с карты на карту
2196934;EXECUTED;2022-04-05T07:17:04Z;24588;Dinar;TND;Счет 68856226464168431377;Счет 64009673148302301520;Перевод со счета на счет
2051401;PENDING;2023-01-14T13:59:44Z;21616;Franc;XAF;Discover 8023806415405011;Discover 4330675064880873;Перевод с карты на карту
1724852;EXECUTED;2021-04-22T20:18:44Z;32530;Peso;COP;Discover 3003758800594505;Discover 3913900928954933;Перевод с карты на карту
